[2024-05-09T23:20:17.857+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_95.json
[2024-05-09T23:20:17.860+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_96.json
[2024-05-09T23:20:17.861+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_96.json
[2024-05-09T23:20:17.864+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_97.json
[2024-05-09T23:20:17.864+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_97.json
[2024-05-09T23:20:17.867+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_98.json
[2024-05-09T23:20:17.867+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_98.json
[2024-05-09T23:20:17.870+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_99.json
[2024-05-09T23:20:17.871+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_99.json
[2024-05-09T23:20:17.894+0000] {python.py:237} INFO - Done. Returned value was: None
[2024-05-09T23:20:17.894+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2024-05-09T23:20:17.901+0000] {taskinstance.py:1206} INFO - Marking task as SUCCESS. dag_id=ml_pipeline, task_id=extract_api_data, run_id=manual__2024-05-09T23:19:43.103474+00:00, execution_date=20240509T231943, start_date=20240509T232017, end_date=20240509T232017
[2024-05-09T23:20:17.933+0000] {local_task_job_runner.py:240} INFO - Task exited with return code 0
